Year,Quarter,Transaction_Type,Transaction_Count,Transaction_Amount
2018,1,Recharge & bill payments,72550031,14472595429.495998
2018,1,Peer-to-peer payments,46982534,147245093938.5241
2018,1,Merchant payments,5368663,4656675957.106963
2018,1,Financial Services,3762820,815853105.0999966
2018,1,Others,5761551,4643212587.050825
2018,2,Recharge & bill payments,92033187,24351002508.03453
2018,2,Peer-to-peer payments,74558560,264765908727.5777
2018,2,Merchant payments,10613935,9052856324.929668
2018,2,Financial Services,5186567,1176991407.1053581
2018,2,Others,4973191,5027452699.603333
2018,3,Recharge & bill payments,102289731,31363988410.87422
2018,3,Peer-to-peer payments,202021002,425963409025.05743
2018,3,Merchant payments,25175886,12433104742.022036
2018,3,Financial Services,6218593,891447750.0568218
2018,3,Others,5594552,4449555687.077654
2018,4,Recharge & bill payments,131916517,39578295712.7732
2018,4,Peer-to-peer payments,200234112,594989611243.6028
2018,4,Merchant payments,71498414,30497156322.052727
2018,4,Financial Services,5216165,868584631.5899947
2018,4,Others,8246399,5802600204.260355
2019,1,Recharge & bill payments,180503517,55472550827.07197
2019,1,Peer-to-peer payments,404839516,887884966579.5905
2019,1,Merchant payments,110496450,40575802430.064445
2019,1,Financial Services,4627351,603851883.0805702
2019,1,Others,8526147,5484190390.911402
2019,2,Recharge & bill payments,209897165,76865520532.225
2019,2,Peer-to-peer payments,384709806,1196418072860.4097
2019,2,Merchant payments,206467012,73415717411.35524
2019,2,Financial Services,2650384,545329308.0900023
2019,2,Others,11656529,6969396980.400132
2019,3,Recharge & bill payments,240102871,101520310117.34418
2019,3,Peer-to-peer payments,461911031,1440507187322.568
2019,3,Merchant payments,376320501,123209243053.75162
2019,3,Financial Services,2870292,617120839.929998
2019,3,Others,13804980,6705129826.83757
2019,4,Recharge & bill payments,285309134,116344378869.04047
2019,4,Peer-to-peer payments,703496154,1963946880199.3909
2019,4,Merchant payments,456578166,174239461323.62048
2019,4,Financial Services,2476840,551204225.4200028
2019,4,Others,12583369,4811818207.830731
2020,1,Recharge & bill payments,351299998,140372952234.92087
2020,1,Peer-to-peer payments,693997734,2320550919316.426
2020,1,Merchant payments,566355133,231297854537.5217
2020,1,Financial Services,1358171,773848137.0300001
2020,1,Others,10027010,4116903578.46356
2020,2,Recharge & bill payments,448841285,171589967792.383
2020,2,Peer-to-peer payments,631030330,2243907882203.1465
2020,2,Merchant payments,363275755,226908035313.18875
2020,2,Financial Services,1682061,1751766718.9883246
2020,2,Others,3779459,1987455944.8063982
2020,3,Recharge & bill payments,436170401,204261389510.94324
2020,3,Peer-to-peer payments,916788133,3287038378855.259
2020,3,Merchant payments,672019333,405290321870.61664
2020,3,Financial Services,2531959,2673049609.3880024
2020,3,Others,5541357,2789856518.390805
2020,4,Recharge & bill payments,479781314,227874615755.41223
2020,4,Peer-to-peer payments,1249508164,4474523494515.352
2020,4,Merchant payments,1127488256,684871111182.3773
2020,4,Financial Services,2942525,3259148683.339542
2020,4,Others,9556363,5323025782.918218
2021,1,Recharge & bill payments,530116011,260181364984.79355
2021,1,Peer-to-peer payments,1447595649,5170825964159.799
2021,1,Merchant payments,1467947054,844462449449.2563
2021,1,Financial Services,3075249,3573800993.9561114
2021,1,Others,8851500,5199878907.743551
2021,2,Recharge & bill payments,685022045,300558155216.12494
2021,2,Peer-to-peer payments,1744265068,6163131045806.316
2021,2,Merchant payments,1499624295,1003526710363.2827
2021,2,Financial Services,3397356,3651939966.437919
2021,2,Others,9061701,5598115264.636773
2021,3,Recharge & bill payments,714580604,349233161452.6345
2021,3,Peer-to-peer payments,2215565729,7429314345654.951
2021,3,Merchant payments,2316920373,1426958471815.773
2021,3,Financial Services,3112140,4043310361.695441
2021,3,Others,13558424,7146798683.496835
2021,4,Recharge & bill payments,738093361,407265195362.31396
2021,4,Peer-to-peer payments,2716551248,9203857638771.377
2021,4,Merchant payments,3152387317,1995846545929.3533
2021,4,Financial Services,4141573,5027889720.581928
2021,4,Others,14562523,9296904301.94499
2022,1,Recharge & bill payments,749671133,447598019324.1911
2022,1,Peer-to-peer payments,3074239038,10505881848153.254
2022,1,Merchant payments,3748841304,2272806793608.8076
2022,1,Financial Services,4035058,4921158727.988291
2022,1,Others,16393427,8422659718.155026
2022,2,Recharge & bill payments,845748145,523043916383.739
2022,2,Peer-to-peer payments,3506126687,12123458604630.402
2022,2,Merchant payments,4765187308,2847083201788.691
2022,2,Financial Services,3272779,3889755110.559272
2022,2,Others,11241449,6711010605.643137
2022,3,Recharge & bill payments,956161169,607045871679.5431
2022,3,Peer-to-peer payments,3957098807,12837741543799.2
2022,3,Merchant payments,5618115417,3151599980809.062
2022,3,Financial Services,3959560,4514174467.949075
2022,3,Others,10005007,6725854121.27238
2022,4,Recharge & bill payments,991045610,649773522735.976
2022,4,Peer-to-peer payments,4459844529,14578807841795.166
2022,4,Merchant payments,6565670930,3673585240609.3125
2022,4,Financial Services,4623335,5360489222.231873
2022,4,Others,10013042,7361423614.197492
